"AcceptedTaxonID","CommonName","Transliteration","Language","Country","Area","ReferenceID"
22954,"Mataan",,"Visayan","PH","Philippines",58652
22954,"Mataan",,"Ilokano","PH","Philippines",31411
22954,"Mataan",,"Pangasinan","PH","Philippines",2857
22954,"Mataan",,"Tagalog","PH","Philippines",31411
22954,"Mataheheva",,"Tongan","TO","Tonga",40762
22954,"Matambaka",,"Davawenyo","PH","Philippines",43437
22954,"Matambaka",,"Waray-waray","PH","Philippines",31411
22954,"Mat-an",,"Hiligaynon","PH","Philippines",31411
22954,"Mat-an",,"Visayan","PH","Philippines",5730
22954,"Matang baka",,"Banton","PH","Philippines",2857
22954,"Matang baka",,"Bikol","PH","Philippines",2857
22954,"Matang baka",,"Davawenyo","PH","Philippines",31411
22954,"Matang baka",,"Kapampangan","PH","Philippines",2857
22954,"Matang baka",,"Kuyunon","PH","Philippines",2857
22954,"Matang baka",,"Magindanaon","PH","Philippines",31411
22954,"Matang baka",,"Tagalog","PH","Philippines",2857
22954,"Matang baka",,"Waray-waray","PH","Philippines",31411
22954,"Matangbaka",,"Agutaynen","PH","Philippines",31411
22954,"Matangbaka",,"Bikol","PH","Philippines",31411
22954,"Matangbaka",,"Cebuano","PH","Philippines",31411
22954,"Matangbaka",,"Ilokano","PH","Philippines",31411
22954,"Matangbaka",,"Kagayanen","PH","Philippines",31411
22954,"Matangbaka",,"Kuyunon","PH","Philippines",31411
22954,"Matangbaka",,"Maranao/Samal/Tao Sug","PH","Philippines",31411
22954,"Matangbaka",,"Pangasinan","PH","Philippines",31411
22954,"Matang-baka",,"Bikol","PH","Philippines",31411
22954,"Me-aji",,"Japanese","JP","Japan",559
22954,"Medregal",,"Spanish","MX","Mexico",3277
22954,"Melão",,"Creole, Portuguese","CV","Cape Verde",27000
22954,"Murimas",,"Mahl","IN","India",47702
22954,"Nato",,"Samoan","WS","Samoa",592
22954,"Nengb",,"Wolof","SN","Senegal",30556
22954,"Nyamuhe",,"Portuguese","MZ","Mozambique",5284
22954,"Nyaô",,"Fwâi","NC","New Caledonia",5970
22954,"Ofe",,"Tahitian",,"Tahiti",12402
22954,"Ofee",,"Tahitian",,"Tahiti",12402
22954,"Ohee",,"Tahitian",,"Tahiti",12402
22954,"Ojo gordo",,"Spanish","CO","Colombia",56479
22954,"Ojón",,"Spanish","CO","Colombia",56479
22954,"Ojón",,"Spanish","PA","Panama",3277
22954,"Ojona",,"Spanish","EC","Ecuador",3277
22954,"Ojoton",,"Spanish","MX","Mexico",3277
22954,"Ojoton",,"Spanish","PE","Peru",3277
