"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
23222,"MU","ISO2Alpha","native"
23222,"MV","ISO2Alpha","native"
23222,"MX","ISO2Alpha","native"
23222,"MY","ISO2Alpha","native"
23222,"MZ","ISO2Alpha","native"
23222,"NA","ISO2Alpha","native"
23222,"NC","ISO2Alpha","native"
23222,"NG","ISO2Alpha","native"
23222,"NI","ISO2Alpha","native"
23222,"NO","ISO2Alpha","native"
23222,"NR","ISO2Alpha","native"
23222,"NU","ISO2Alpha","native"
23222,"NZ","ISO2Alpha","native"
23222,"OM","ISO2Alpha","native"
23222,"PA","ISO2Alpha","native"
23222,"PE","ISO2Alpha","native"
23222,"PF","ISO2Alpha","native"
23222,"PG","ISO2Alpha","native"
23222,"PH","ISO2Alpha","native"
23222,"PK","ISO2Alpha","native"
23222,"PN","ISO2Alpha","native"
23222,"PR","ISO2Alpha","native"
23222,"PT","ISO2Alpha","native"
23222,"PW","ISO2Alpha","native"
23222,"RE","ISO2Alpha","native"
23222,"SB","ISO2Alpha","native"
23222,"SC","ISO2Alpha","native"
23222,"SE","ISO2Alpha","native"
23222,"SG","ISO2Alpha","native"
23222,"SH","ISO2Alpha","native"
23222,"SI","ISO2Alpha","native"
23222,"SL","ISO2Alpha","native"
23222,"SN","ISO2Alpha","native"
23222,"SO","ISO2Alpha","native"
23222,"SR","ISO2Alpha","native"
23222,"ST","ISO2Alpha","native"
23222,"SV","ISO2Alpha","native"
23222,"SY","ISO2Alpha","native"
23222,"TC","ISO2Alpha","native"
23222,"TG","ISO2Alpha","native"
23222,"TH","ISO2Alpha","native"
23222,"TK","ISO2Alpha","native"
23222,"TN","ISO2Alpha","native"
23222,"TO","ISO2Alpha","native"
23222,"TR","ISO2Alpha","native"
23222,"TT","ISO2Alpha","native"
23222,"TV","ISO2Alpha","native"
23222,"TW","ISO2Alpha","native"
23222,"TZ","ISO2Alpha","native"
23222,"US","ISO2Alpha","native"
23222,"UY","ISO2Alpha","native"
23222,"VC","ISO2Alpha","native"
23222,"VE","ISO2Alpha","native"
23222,"VG","ISO2Alpha","native"
23222,"VI","ISO2Alpha","native"
23222,"VN","ISO2Alpha","native"
23222,"VU","ISO2Alpha","native"
23222,"WF","ISO2Alpha","native"
23222,"WS","ISO2Alpha","native"
23222,"YE","ISO2Alpha","native"
23222,"ZA","ISO2Alpha","native"
23551,"AG","ISO2Alpha","native"
